psgc_code,reference_year,population,source
1380200015,2024,31420,2024 POPCEN (PSA)
1380200016,2024,32788,2024 POPCEN (PSA)
1380200017,2024,44452,2024 POPCEN (PSA)
1380200018,2024,33192,2024 POPCEN (PSA)
1380200019,2024,17656,2024 POPCEN (PSA)
1380200020,2024,42013,2024 POPCEN (PSA)
1380300000,2024,309770,2024 POPCEN (PSA)
1380300001,2024,18013,2024 POPCEN (PSA)
1380300002,2024,39354,2024 POPCEN (PSA)
1380300005,2024,3034,2024 POPCEN (PSA)
1380300006,2024,4320,2024 POPCEN (PSA)
1380300008,2024,4183,2024 POPCEN (PSA)
1380300009,2024,21596,2024 POPCEN (PSA)
1380300010,2024,13525,2024 POPCEN (PSA)
1380300011,2024,5007,2024 POPCEN (PSA)
1380300012,2024,6682,2024 POPCEN (PSA)
1380300013,2024,5473,2024 POPCEN (PSA)
1380300014,2024,19035,2024 POPCEN (PSA)
1380300015,2024,11934,2024 POPCEN (PSA)
1380300017,2024,5323,2024 POPCEN (PSA)
1380300018,2024,55572,2024 POPCEN (PSA)
1380300020,2024,17088,2024 POPCEN (PSA)
1380300023,2024,18012,2024 POPCEN (PSA)
1380300024,2024,6260,2024 POPCEN (PSA)
1380300025,2024,14793,2024 POPCEN (PSA)
1380300026,2024,6744,2024 POPCEN (PSA)
1380300027,2024,7485,2024 POPCEN (PSA)
1380300029,2024,16019,2024 POPCEN (PSA)
1380300030,2024,4720,2024 POPCEN (PSA)
1380300031,2024,5598,2024 POPCEN (PSA)
1380400000,2024,389929,2024 POPCEN (PSA)
1380400001,2024,4965,2024 POPCEN (PSA)
1380400002,2024,12461,2024 POPCEN (PSA)
1380400003,2024,6708,2024 POPCEN (PSA)
1380400004,2024,45841,2024 POPCEN (PSA)
1380400005,2024,13098,2024 POPCEN (PSA)
1380400006,2024,13710,2024 POPCEN (PSA)
1380400007,2024,3977,2024 POPCEN (PSA)
1380400008,2024,12265,2024 POPCEN (PSA)
1380400009,2024,8219,2024 POPCEN (PSA)
1380400010,2024,54411,2024 POPCEN (PSA)
1380400011,2024,10481,2024 POPCEN (PSA)
1380400012,2024,6127,2024 POPCEN (PSA)
1380400013,2024,7529,2024 POPCEN (PSA)
1380400014,2024,20317,2024 POPCEN (PSA)
1380400015,2024,43411,2024 POPCEN (PSA)
1380400016,2024,10993,2024 POPCEN (PSA)
1380400017,2024,13736,2024 POPCEN (PSA)
1380400018,2024,14836,2024 POPCEN (PSA)
1380400019,2024,18677,2024 POPCEN (PSA)
1380400020,2024,41669,2024 POPCEN (PSA)
1380400021,2024,26498,2024 POPCEN (PSA)
1380500000,2024,465902,2024 POPCEN (PSA)
1380500001,2024,110493,2024 POPCEN (PSA)
1380500002,2024,4349,2024 POPCEN (PSA)
1380500003,2024,15782,2024 POPCEN (PSA)
1380500004,2024,9473,2024 POPCEN (PSA)
1380500005,2024,24467,2024 POPCEN (PSA)
1380500006,2024,11354,2024 POPCEN (PSA)
1380500007,2024,2543,2024 POPCEN (PSA)
1380500008,2024,5086,2024 POPCEN (PSA)
1380500009,2024,4648,2024 POPCEN (PSA)
1380500010,2024,10303,2024 POPCEN (PSA)
1380500011,2024,6870,2024 POPCEN (PSA)
1380500012,2024,4021,2024 POPCEN (PSA)
1380500013,2024,49455,2024 POPCEN (PSA)
1380500014,2024,47757,2024 POPCEN (PSA)
1380500015,2024,8878,2024 POPCEN (PSA)
1380500016,2024,14489,2024 POPCEN (PSA)
1380500017,2024,26570,2024 POPCEN (PSA)
1380500018,2024,8185,2024 POPCEN (PSA)
1380500019,2024,8872,2024 POPCEN (PSA)
1380500020,2024,5435,2024 POPCEN (PSA)
1380500021,2024,4493,2024 POPCEN (PSA)
1380500022,2024,33472,2024 POPCEN (PSA)
1380500023,2024,6097,2024 POPCEN (PSA)
1380500024,2024,16407,2024 POPCEN (PSA)
1380500025,2024,7888,2024 POPCEN (PSA)
1380500026,2024,4740,2024 POPCEN (PSA)
1380500027,2024,13775,2024 POPCEN (PSA)
1380600000,2024,1902590,2024 POPCEN (PSA)
1380601000,2024,637942,2024 POPCEN (PSA)
1380601001,2024,3119,2024 POPCEN (PSA)
1380601002,2024,1666,2024 POPCEN (PSA)
1380601003,2024,1232,2024 POPCEN (PSA)
1380601004,2024,1717,2024 POPCEN (PSA)
1380601005,2024,1321,2024 POPCEN (PSA)
1380601006,2024,506,2024 POPCEN (PSA)
1380601007,2024,1566,2024 POPCEN (PSA)
1380601008,2024,301,2024 POPCEN (PSA)
1380601009,2024,453,2024 POPCEN (PSA)
1380601010,2024,161,2024 POPCEN (PSA)
1380601011,2024,2790,2024 POPCEN (PSA)
1380601012,2024,1723,2024 POPCEN (PSA)
1380601013,2024,2435,2024 POPCEN (PSA)
1380601014,2024,2479,2024 POPCEN (PSA)
1380601015,2024,1104,2024 POPCEN (PSA)
1380601016,2024,1371,2024 POPCEN (PSA)
1380601017,2024,973,2024 POPCEN (PSA)
1380601018,2024,2006,2024 POPCEN (PSA)
1380601019,2024,2260,2024 POPCEN (PSA)
1380601020,2024,43691,2024 POPCEN (PSA)
1380601025,2024,3000,2024 POPCEN (PSA)
1380601026,2024,2340,2024 POPCEN (PSA)
1380601028,2024,2515,2024 POPCEN (PSA)
1380601029,2024,4422,2024 POPCEN (PSA)
1380601030,2024,170,2024 POPCEN (PSA)
1380601031,2024,3101,2024 POPCEN (PSA)
1380601032,2024,2221,2024 POPCEN (PSA)
1380601033,2024,4343,2024 POPCEN (PSA)
1380601034,2024,1930,2024 POPCEN (PSA)
1380601035,2024,2289,2024 POPCEN (PSA)
1380601036,2024,2267,2024 POPCEN (PSA)
1380601037,2024,2456,2024 POPCEN (PSA)
1380601038,2024,3144,2024 POPCEN (PSA)
1380601039,2024,2498,2024 POPCEN (PSA)
1380601041,2024,3957,2024 POPCEN (PSA)
1380601042,2024,2196,2024 POPCEN (PSA)
1380601043,2024,2949,2024 POPCEN (PSA)
1380601044,2024,841,2024 POPCEN (PSA)
1380601045,2024,2312,2024 POPCEN (PSA)
1380601046,2024,2173,2024 POPCEN (PSA)
1380601047,2024,1677,2024 POPCEN (PSA)
1380601048,2024,4191,2024 POPCEN (PSA)
1380601049,2024,2184,2024 POPCEN (PSA)
1380601050,2024,3806,2024 POPCEN (PSA)
1380601051,2024,2614,2024 POPCEN (PSA)
1380601052,2024,2249,2024 POPCEN (PSA)
1380601053,2024,3218,2024 POPCEN (PSA)
1380601054,2024,1818,2024 POPCEN (PSA)
1380601055,2024,2427,2024 POPCEN (PSA)
1380601056,2024,3377,2024 POPCEN (PSA)
1380601057,2024,815,2024 POPCEN (PSA)
1380601058,2024,4088,2024 POPCEN (PSA)
1380601059,2024,1064,2024 POPCEN (PSA)
1380601060,2024,3800,2024 POPCEN (PSA)
1380601061,2024,1087,2024 POPCEN (PSA)
1380601062,2024,1877,2024 POPCEN (PSA)
1380601063,2024,1588,2024 POPCEN (PSA)
1380601064,2024,443,2024 POPCEN (PSA)
1380601065,2024,1721,2024 POPCEN (PSA)
1380601066,2024,3388,2024 POPCEN (PSA)
1380601067,2024,3641,2024 POPCEN (PSA)
1380601068,2024,966,2024 POPCEN (PSA)
1380601069,2024,2143,2024 POPCEN (PSA)
1380601070,2024,2405,2024 POPCEN (PSA)
1380601071,2024,3486,2024 POPCEN (PSA)
1380601072,2024,3743,2024 POPCEN (PSA)
1380601073,2024,2394,2024 POPCEN (PSA)
1380601074,2024,711,2024 POPCEN (PSA)
1380601075,2024,1631,2024 POPCEN (PSA)
1380601076,2024,1745,2024 POPCEN (PSA)
1380601077,2024,1346,2024 POPCEN (PSA)
1380601078,2024,844,2024 POPCEN (PSA)
1380601079,2024,1601,2024 POPCEN (PSA)
1380601080,2024,2566,2024 POPCEN (PSA)
1380601081,2024,1848,2024 POPCEN (PSA)
1380601082,2024,2662,2024 POPCEN (PSA)
1380601083,2024,1658,2024 POPCEN (PSA)
1380601084,2024,1176,2024 POPCEN (PSA)
1380601085,2024,4051,2024 POPCEN (PSA)
1380601086,2024,1662,2024 POPCEN (PSA)
1380601087,2024,1639,2024 POPCEN (PSA)
1380601088,2024,1052,2024 POPCEN (PSA)
1380601089,2024,728,2024 POPCEN (PSA)
1380601090,2024,645,2024 POPCEN (PSA)
1380601091,2024,4453,2024 POPCEN (PSA)
1380601092,2024,2519,2024 POPCEN (PSA)
1380601093,2024,4586,2024 POPCEN (PSA)
1380601094,2024,2117,2024 POPCEN (PSA)
1380601095,2024,4994,2024 POPCEN (PSA)
1380601096,2024,2230,2024 POPCEN (PSA)
1380601097,2024,3656,2024 POPCEN (PSA)
1380601098,2024,1877,2024 POPCEN (PSA)
1380601099,2024,3682,2024 POPCEN (PSA)
1380601100,2024,2340,2024 POPCEN (PSA)
1380601101,2024,13659,2024 POPCEN (PSA)
1380601102,2024,4616,2024 POPCEN (PSA)
1380601103,2024,5071,2024 POPCEN (PSA)
1380601104,2024,5801,2024 POPCEN (PSA)
1380601105,2024,26494,2024 POPCEN (PSA)
1380601106,2024,2716,2024 POPCEN (PSA)
1380601107,2024,7153,2024 POPCEN (PSA)
1380601108,2024,5114,2024 POPCEN (PSA)
1380601109,2024,3495,2024 POPCEN (PSA)
1380601110,2024,2431,2024 POPCEN (PSA)
1380601111,2024,2676,2024 POPCEN (PSA)
1380601112,2024,5840,2024 POPCEN (PSA)
1380601116,2024,6182,2024 POPCEN (PSA)
1380601117,2024,4262,2024 POPCEN (PSA)
1380601118,2024,10891,2024 POPCEN (PSA)
1380601119,2024,1877,2024 POPCEN (PSA)
1380601120,2024,3886,2024 POPCEN (PSA)
1380601121,2024,4097,2024 POPCEN (PSA)
1380601122,2024,3830,2024 POPCEN (PSA)
1380601123,2024,8879,2024 POPCEN (PSA)
1380601124,2024,307,2024 POPCEN (PSA)
1380601125,2024,3749,2024 POPCEN (PSA)
1380601126,2024,913,2024 POPCEN (PSA)
1380601127,2024,574,2024 POPCEN (PSA)
1380601128,2024,22298,2024 POPCEN (PSA)
1380601129,2024,5207,2024 POPCEN (PSA)
1380601130,2024,1398,2024 POPCEN (PSA)
1380601131,2024,1258,2024 POPCEN (PSA)
1380601132,2024,1151,2024 POPCEN (PSA)
1380601133,2024,2317,2024 POPCEN (PSA)
1380601134,2024,1104,2024 POPCEN (PSA)
1380601135,2024,1946,2024 POPCEN (PSA)
1380601136,2024,1302,2024 POPCEN (PSA)
1380601137,2024,1060,2024 POPCEN (PSA)
